,index,category,answer,question
57,1792,rivers,"punjab means ""land of the 5 rivers"", referring to the 5 rivers that empty into this one",the Indus (River)
58,1878,mountains,for centuries trade has moved between austria & italy through the brenner pass in these mountains,the Alps
59,1879,mountains,coffee plantations & tribal villages are located on the lower parts of this tanzanian volcano,Mount Kilimanjaro
60,1880,mountains,"the himalayas have at least 30 peaks over 25,000 feet including this one at 29,028 feet",Mount Everest
61,1881,mountains,"this u.s. state's highest mountain, humphreys peak, rises 12,633 feet near flagstaff",Arizona
62,1882,mountains,"the name of this chain in eastern california is spanish for ""snowy mountains\""",the Sierra Nevada
63,1990,islands,"\""the emerald isle\""",Ireland
64,1991,islands,"shisaldin, a volcano on unimak island, is the highest point in this alaskan island group",Aleutians
65,1992,islands,this chilean island in the south pacific is called rapa nui by the polynesians who live there,Easter Island
66,1993,islands,this island is japan's most populous,Honshu
67,1994,islands,"this small ""royal"" island is canada's most densely populated province",Prince Edward Island
68,2072,countries of the world,this n. american country's 1st oil fields were discovered at the turn of the cent. near tampico on the gulf coast,Mexico
69,2073,countries of the world,this largest south american nation's name comes from local wood that resembled glowing embers,Brazil
70,2074,countries of the world,"the regions of thrace, macedonia & epirus make up the northern tier of this country",Greece
71,2075,countries of the world,"this county's 3 largest cities are jiddah, riyadh & mecca",Saudi Arabia
72,2076,countries of the world,christchurch is the capital of canterbury provincial district on this country's south island,New Zealand
73,2289,museums,england's leeds castle features a museum devoted to these items that encircle canines' necks,collars
74,2290,museums,"crowley, louisiana has a museum devoted to this grain grown in flooded fields",rice
75,2291,museums,a transportation museum in baltimore named for this railroad has a collection of early railway cars,B&O (Baltimore & Ohio)
76,2292,museums,"santa anna's saddle is on display at a huntsville, texas museum devoted to this president of texas",Sam Houston
77,2293,museums,indian relics are on display at the roger williams park museum in this state capital,Providence (Rhode Island)
78,2309,"geography ""b\""","in 1961 this city got what the locals called schandmauer, ""wall of shame\""",Berlin
79,2310,"geography ""b\""",nato sits in brussels & seato sat in this thai city,Bangkok
80,2311,"geography ""b\""",the titanic was built in a shipyard in this northern ireland city,Belfast
81,2312,"geography ""b\""",its coat of arms features a condor & an alpaca,Bolivia
82,2313,"geography ""b\""","since burma became myanmar, this is the only ""b"" country left on the bay of bengal",Bangladesh
83,2325,museums,"the british museum stands on the site of montagu house, its original home, in this capital city",London
84,2326,museums,a blue sculpture of a hippo known as william is the unofficial mascot of this fifth avenue art museum,Metropolitan
85,2327,museums,"originally, this premier spanish art museum was designed to be a natural science museum",Prado
86,2328,museums,"the ""stars and stripes"", the 1st research plane to fly over this continent, is in the virginia aviation museum",Antarctica
87,2329,museums,even the most jaded traveler should enjoy the jade museum in this capital of costa rica,San José
88,2345,state capitals,tourist sites in this capital include quincy market & faneuil hall,Boston
89,2346,state capitals,abraham lincoln wrote his first inaugural speech at his law office in this state capital,Springfield
90,2347,state capitals,"the name of this capital on the kansas river is siouan for ""a good place to dig potatoes\""",Topeka
91,2348,state capitals,this capital was the western terminus of the first transcontinental railroad,Sacramento
92,2349,state capitals,the centers for disease control is headquartered in this southern capital,Atlanta
93,2538,islands,this alaskan island chain lies at roughly the same latitude as england,the Aleutian Islands
94,2539,islands,"3 of the world's 10 largest islands, baffin, victoria & ellesmere belong to this country",Canada
95,2540,islands,it's the largest island in narrangansett bay,Rhode Island
96,2541,islands,the iraklion archaeological museum on this greek island features minoan artifacts,Crete
97,2542,islands,"the moluccas, or spice islands, belong to this island nation",Indonesia
98,2569,state nicknames,"\""the grand canyon state\""",Arizona
99,2570,state nicknames,"\""the show me state\""",Missouri
100,2571,state nicknames,"\""the gopher state\""",Minnesota
101,2572,state nicknames,"\""the beehive state\""",Utah
102,2573,state nicknames,"\""heart of dixie\""",Alabama
103,2604,bodies of water,the bay of biscay between spain & france & biscayne bay in florida are both inlets of this ocean,Atlantic
104,2605,bodies of water,"the ""blue"" branch of this longest river contributes about 70% of the water",Nile
105,2606,bodies of water,"bordered by ontario, new york, penn., ohio & michigan, it's the shallowest of the great lakes",Erie
106,2607,bodies of water,"in china it's officially known as chang jiang or ""long river\""",Yangtze
107,2608,bodies of water,"copenhagen, denmark & gdansk, poland are major ports on this sea",Baltic
108,2731,islands,"because of its triangular shape, the ancients called this island off italy's southwestern coast trinacria",Sicily
109,2732,islands,the cagayan river is the longest river on luzon in this pacific island republic,the Philippines
110,2733,islands,saint helier on jersey is the largest town in this british island group,the Channel Islands
111,2734,islands,"this australian state has many islands, including king island, maria island & the kent group",Tasmania
112,2735,islands,a 1956 act of congress renamed new york's bedloe's island this,Liberty Island
113,2782,mountains,"john hunt, leader of the expedition that put edmund hillary atop this mountain, was made a baron",Mount Everest
114,2783,mountains,mount fairweather contains the highest point in this westernmost canadian province,British Columbia
115,2784,mountains,it's said the name of this mountain near pompeii comes from a word for smoke,Vesuvius
116,2785,mountains,mountain range where the donner party spent the winter of 1846-47,Sierra Nevadas
117,2786,mountains,this new hampshire range includes the franconia mountains & the presidential range,White Mountains
118,2808,museums,"more than 200 wax figures are on display in the plaza theatre of wax, across from the alamo in this city",San Antonio
119,2809,museums,"vermeer's ""young woman with a water jug"" is one of many treasures in this huge 5th avenue museum",the Metropolitan Museum of Art
120,2810,museums,arizona state university in this city boasts a museum of geology & an art museum,Tempe
121,2811,museums,there's a model railroad museum in the casa de balboa in this 2nd-largest city on the u.s. pacific coast,San Diego
122,2812,museums,you'll find this alabama city's museum of art at the von braun civic center,Huntsville
123,2913,national parks,president grant signed the legislation making this the first national park in 1872,Yellowstone National Park
124,2914,national parks,"utah's arches national park, which borders a deep gorge of this river, has at least 950 natural arches",Colorado River
125,2915,national parks,"denali, also known as this, is the highest peak in alaska's denali national park",Mount McKinley
126,2916,national parks,fort jefferson in this state's dry tortugas national park was a federal prison in the civil war,Florida
127,2917,national parks,"this california park, the site of el capitan, was administered by the u.s. army from 1890 to 1914",Yosemite
128,3091,bodies of water,reports of this scottish lake being inhabited by a monster date back to the 6th century,Loch Ness
129,3092,bodies of water,"one of the world's largest artificial lakes is lake nasser, a reservoir on this river",Nile River
130,3093,bodies of water,"named for a french statesman, this louisiana lake is about half the size of rhode island",Lake Pontchartrain
131,3094,bodies of water,the spanish armada sailed through this bay immediately before reaching the english channel,Bay of Biscay
132,3095,bodies of water,"this longest river of southeast asia flows through china, laos, thailand, cambodia, & vietnam",Mekong River
133,3106,countries of the world,"the name of this country derives from an iroquoian term meaning ""village"" or ""community\""",Canada
134,3243,state capitals,"taking 40 years to build, the mormon temple was dedicated in this capital in 1893",Salt Lake City
135,3244,state capitals,the california gold rush helped put this state capital on the map,Sacramento
136,3245,state capitals,"it's located on the kentucky river, about 50 miles east of louisville",Frankfort
137,3246,state capitals,"it's nicknamed ""the roger williams city\""","Providence, Rhode Island"
138,3247,state capitals,in 1624 dutch settlers founded fort orange on the site of this present-day capital,"Albany, New York"
139,3411,cities of the bible,"after david captured this city's fortress, it was called the city of david",Jerusalem
140,3412,cities of the bible,this city already had a bad reputation when lot decided to settle there,Sodom
141,3413,cities of the bible,"after joshua & the israelites crossed the jordan, this city locked its gates",Jericho
142,3414,cities of the bible,"as a captive in this city, daniel was known by the name belteshazzar",Babylon
143,3415,cities of the bible,elijah anoited hazael king of syria in the wilderness outside this capital,Damascus
144,3430,islands,"the island of honshu is considered this country's ""mainland\""",Japan
145,3431,islands,"about 80% of this mediterranean island's 700,000 people speak greek; about 18% speak turkish",Cyprus
146,3432,islands,since 1949 this island has been the seat of the republic of china,Taiwan
147,3433,islands,in 1778 capt. james cook surveyed the eastern part of this alaskan island chain,Aleutians
148,3434,islands,"the biminis, the westernmost group in this island nation, lie about 60 miles east of miami",Bahamas
149,3998,countries of the world,hundreds of islands make up about 20% of this european nation,Greece
150,3999,countries of the world,"the neighbors of this country include saudi arabia & oh-oh, iraq",Kuwait
151,4000,countries of the world,carlos roberto flores is the current president of this central american nation,Honduras
152,4001,countries of the world,this country is named after a genoese explorer,Colombia
153,4002,countries of the world,this north african country has been part of the ottoman & carthaginian empires,Tunisia
154,4079,landmarks,plans are for steel cables to temporarily replace the over 800 tons of lead that counterbalance it,The Leaning Tower of Pisa
155,4213,countries by region,"damietta, suez, gharbiya",Egypt
156,4214,countries by region,"corse, auvergne, bretagne",France
157,4215,countries by region,"roraima, maranhao, amazonas",Brazil
158,4216,countries by region,"cordoba, la pampa, tierra del fuego",Argentina
159,4217,countries by region,"ostergotland, vasterbotten, uppsala",Sweden
160,4401,countries of the world,it's ruled by the pope,the Vatican City State
161,4402,countries of the world,"this long, narrow country stretches from peru to the southern tip of south america",Chile
162,4403,countries of the world,this country that was once called persia still has persian as its official language,Iran
163,4404,countries of the world,this country is home to many volcanoes including the explosive krakatoa,Indonesia
164,4405,countries of the world,"this small duchy is completely surrounded by germany, belgium & france",Luxembourg
165,4492,state capitals,"over 10 interstate & u.s. highways funnel into this indiana capital; thus its nickname, the ""crossroads of america\""",Indianapolis
166,4493,state capitals,"although delaware's capital since 1777, it wasn't incorporated as a city until 1929",Dover
167,4494,state capitals,"now a museum, the old governor's mansion in this capital was constructed by huey p. long in 1930",Baton Rouge
168,4495,state capitals,"in the 1860s, it became the last of 4 capitals to be named for a u.s. president",Lincoln
169,4496,state capitals,"its newspapers include the globe, the herald & the christian science monitor",Boston
170,4527,rivers,it's still working at deepening the grand canyon,Colorado River
171,4528,rivers,this river featured on the state flag of nebraska bears the name of another state,Missouri
172,4529,rivers,"called the mother of canada, it includes lake st. louis & lac st.-pierre",St. Lawrence
173,4530,rivers,"it falls in altitude over 16,000 feet over its first 600 miles & only another 800 feet over the last 3,600 miles",Amazon
174,4531,rivers,2 of the 3 rivers that surround the island of manhattan,"East, Harlem, Hudson"
175,4716,state license plates,xxx 0000 (with the rockies outlined),Colorado
176,4717,state license plates,sample vacationland,Maine
177,4718,state license plates,0 0000 (with a drawing of a cowboy),Wyoming
178,4719,state license plates,301-jrj evergreen state,Washington
179,4720,state license plates,epl 024 sportsman's paradise,Louisiana
180,4767,where is it?,the eiffel tower is one of the dramatic landmarks in this european capital city,Paris
181,4768,where is it?,the countries of uruguay & paraguay are found on this continent,South America
182,4769,where is it?,"honshu, hokkaido, shikoku & kyushu are the 4 main islands making up this asian country",Japan
183,4770,where is it?,"the cold, mineral-rich region of siberia is found in this country",Russia
184,4771,where is it?,"found at the tip of a continent, it's the country where nelson mandela was born",South Africa
185,4968,state capitals,massachusetts,Boston
186,4969,state capitals,nevada,Carson City
187,4970,state capitals,north dakota,Bismarck
188,4971,state capitals,pennsylvania,Harrisburg
189,4972,state capitals,west virginia,Charleston
190,5049,state facts,"by population, it's the largest city of the state seen here (california)",Los Angeles
191,5050,state facts,an abundance of flowers gave this state its name when the spanish arrived in 1513,Florida
192,5051,state facts,he's the current governor of the state seen here (texas),George W. Bush
193,5052,state facts,"the name of this ""silver state"" comes from the spanish for ""snow-covered\""",Nevada
194,5053,state facts,this state has 8 national parks totalling over 50 million acres,Alaska
195,5212,state capitals,this utah capital lies about 15 miles from the body of water for which it was named,Salt Lake City
196,5213,state capitals,iolani palace in this capital city was once home to monarchs,Honolulu
197,5214,state capitals,this city was laid out in the late 1840s on property once owned by john sutter,Sacramento
198,5215,state capitals,"what a discovery!  genoa, italy is an appropriate sister city of this state capital","Columbus, Ohio"
199,5216,state capitals,you'll find this state capital near the eastern end of the erie canal,Albany
200,5345,where's the lake?,loch tay,Scotland
201,5346,where's the lake?,lake of lucerne,Switzerland
202,5347,where's the lake?,lake bracciano,Italy
203,5348,where's the lake?,lake managua,Nicaragua
204,5349,where's the lake?,lake itasca,United States
205,5436,museums,this institution's vast collection includes the spirit of st. louis & archie bunker's chair,Smithsonian
206,5437,museums,the national civil rights museum is located on the memphis site where he was assassinated in 1968,Martin Luther King Jr.
207,5438,museums,this austrian psychologist's vienna home contains his walking stick & other mementos,Sigmund Freud
208,5439,museums,its 71-foot glass pyramid designed by i.m. pei was commissioned by francois mitterrand,the Louvre
209,5440,museums,"last name of paleontologist richard, who was director of the national museums of kenya from 1968 to 1989",Leakey
210,5457,islands,"in area, it's the largest island of our 50th state",Hawaii
211,5458,islands,"together with south island, it makes up most of the area of new zealand",North Island
212,5459,islands,"the ""boot"" of italy looks like it's kicking this large island",Sicily
213,5460,islands,"you'll find this island nation about 95 miles due south of cuba, mon",Jamaica
214,5461,islands,it's the last island as you travel the florida keys on u.s. 1 south,Key West
215,5557,mountains high,bamboo groves circle the lower slopes of this highest japanese mountain,Mount Fuji
216,5558,mountains high,"at 14,410 feet, this volcano is washington state's highest point",Mount Rainier
217,5559,mountains high,"about 20,000 sicilians were killed in 1669 by this volcano's eruption & accompanying earthquakes",Mount Etna
218,5560,mountains high,"the world's second-highest peak, mount godwin austen is also known by this letter & number",K2
219,5561,mountains high,"this tanzanian mountain's highest point, uhuru peak, is covered with snow & ice year round",Mount Kilimanjaro
220,5689,"geograph""y\""","there's an active volcano on sicily, an island that's part of this country",Italy
221,5690,"geograph""y\""",it's the largest city in utah,Salt Lake City
222,5691,"geograph""y\""",this scandinavian country has 2 forms of its official language -- bokmal & nynorsk,Norway
223,5692,"geograph""y\""","while many countries in europe have been splitting up, this one got back together in 1990",Germany
224,5693,"geograph""y\""",the last british ship of convicts pulled into this australian city's port in 1849,Sydney
225,5747,state capitals,"put on your sunscreen & head to waikiki beach, a popular tourist spot in this capital city",Honolulu
226,5748,state capitals,"it was the site of a famous ""tea party"", december 16, 1773",Boston
227,5749,state capitals,"during the civil war, union troops led by sherman captured & burned much of this georgia capital",Atlanta
228,5750,state capitals,"the capital of mississippi was named for this man, even before he became president",Andrew Jackson
229,5751,state capitals,it's the capital of the most populous u.s. state,Sacramento (California)
230,6000,museums,"princess leia's gown & other cool stuff from this film series are at chicago's field museum till january 7, 2001",Star Wars
231,6001,museums,"the viking ship museum is one of the top attractions in oslo, the capital of this country",Norway
232,6002,museums,"it's ""gouda"" to know there's a museum featuring types of this dairy product in alkmaar, holland",cheese
233,6003,museums,"there's a new england pirate museum in this massachusetts city, as well as a witch museum",Salem
234,6004,museums,"when visiting yokohama, ""worm"" your way over to the museum devoted to this fine fabric",silk
235,6117,mountains,it's one of the main attractions of the pike national forest,Pikes Peak
236,6118,mountains,"of uncle mountain, sister mountain or grandfather mountain, the highest peak in the blue ridge range",Grandfather Mountain
237,6119,mountains,the name of mont blanc means this color mountain,white
238,6120,mountains,"this home of thomas jefferson sits atop a ""little mountain"", which is what its name means in italian",Monticello
239,6121,mountains,riding the skylift to the top of stone mountain is one of the fun things to do in this southern state,Georgia
240,6208,countries of the world,"this vast country is about 1,000 miles northwest of new zealand",Australia
241,6209,countries of the world,this country with a direction in its name changed direction in the '90s by ending its apartheid policy,South Africa
242,6210,countries of the world,in the 1800s argentinean cowboys called this inspired the works of many writers & artists,gauchos
243,6211,countries of the world,its northernmost mainland point lies on the jutland peninsula at its border with denmark,Germany
244,6212,countries of the world,"the symbols on this country's coat of arms represent aragon, castile & other historic kingdoms",Spain
245,6285,continental high points,mt. mckinley,North America
246,6286,continental high points,mt. everest,Asia
247,6287,continental high points,mt. kilimanjaro,Africa
248,6288,continental high points,mt. aconcagua,South America
249,6289,continental high points,mt. elbrus,Europe (in Russia)
250,6355,bodies of water,"this african river's drainage basin, the world's longest, covers 35 degrees of latitude",the Nile
251,6356,bodies of water,in area this canadian bay is more than 3 times as large as all the great lakes combined,Hudson Bay
252,6357,bodies of water,"at the point where it enters the caspian sea, this russian river is 92 feet below sea level",the Volga
253,6358,bodies of water,colombia's gulf of uraba is the southernmost extremity of this sea,the Caribbean Sea
254,6359,bodies of water,large banks of pearl-producing mollusks are found on this gulf's western shore on the arabian peninsula,Persian Gulf
255,6639,state capitals,1 of the 2 u.s. state capitals that begin with the names of months,"(1 of 2) Juneau, Alaska or Augusta, Maine"
256,6719,state trees,the douglas type of this 3-letter tree is the state tree of oregon,fir
257,6720,state trees,"rhode island picked the ""red"" type of this tree; vermont got the ""sugar"" kind",maple
258,6721,state trees,"delaware chose a type of this tree that's paired with ""the ivy"" in a christmas song",holly
259,6722,state trees,"when i think of this state tree of texas, i get hungry for pralines",pecan
260,6723,state trees,"i'd like to dance the charleston under this palmetto state's state tree, the palmetto",South Carolina
261,6760,state capitals,a statue of king kamehameha i stands guard outside the judiciary building in this capital city,Honolulu
262,6761,state capitals,from 1701 to 1875 new haven & this city were twin capitals of connecticut; today it's the only one,Hartford
263,6762,state capitals,the capitol building in this city was designed by thomas jefferson,Richmond
264,6763,state capitals,"the french called a land formation la petite roche, thus giving this capital its name",Little Rock
265,6764,state capitals,this state capital is in the green mountains along the winooski river,Montpelier
266,6994,where am i?,"the muzej za umjetnost i obrt in zagreb, croatia sounded exotic until i found out it was the museum of arts & these",crafts
267,6995,where am i?,the herengracht is one of the grand canals of this dutch capital,Amsterdam
268,6996,where am i?,"with all the smog the day i was in santiago, chile, it was tough to see this mountain range towering over the city",the Andes
269,6997,where am i?,the ivan the great bell tower is the tallest structure within the walls of this moscow landmark,the Kremlin
270,7069,continents by countries,"honduras, mexico, canada",North America
271,7070,continents by countries,"hungary, lithuania, albania",Europe
272,7071,continents by countries,"guyana, suriname, bolivia",South America
273,7072,continents by countries,"chad, angola, ethiopia",Africa
274,7073,continents by countries,"iraq, uzbekistan, mongolia",Asia
275,7113,landmarks,this california structure whose official color is international orange is one of the 7 wonders of the modern world,Golden Gate Bridge
276,7204,islands,"shikoku, the smallest of this country's 4 main islands, is also its least populous",Japan
277,7205,islands,the denmark strait separates iceland from this much larger island,Greenland
278,7206,islands,"trinacria was the ancient name for this island off the tip of italy's ""toe\""",Sicily
279,7207,islands,"this string of islands extends westward about 1,200 miles from the alaskan peninsula",Aleutian
280,7208,museums,a virtual museum on the web is devoted to 100 years of these devices that apply radiant heat to slices of bread,toaster
281,7209,museums,"the shrine of the book, which houses the dead sea scrolls, is a wing of this country's national museum",Israel
282,7210,museums,"a museum at cape elizabeth, maine devoted to one of these structures is housed in the former keeper's quarters",lighthouse
283,7211,museums,this london museum's department of egyptian antiquities houses the rosetta stone,British Museum
284,7212,museums,"the astronaut hall of fame in titusville, florida honors several heroes including this first american in space",Alan Shepard
285,7245,bodies of water,"sharing its name with a state, it's the only one of the great lakes entirely within the u.s.",Lake Michigan
286,7246,bodies of water,the gulf of mexico is actually an arm of this second-largest ocean,Atlantic
287,7247,bodies of water,"this nearly 4,000-mile-long river begins high in the andes mountains",Amazon
288,7248,bodies of water,iraq & kuwait lie at the northern end of this gulf where a war broke out in 1991,Persian
289,7249,bodies of water,"this ""stately"" river forms the boundary between new york & pennsylvania",Delaware
290,7269,state symbols,"appropriately, the mayflower is the official flower of this state",Massachusetts
291,7329,states of the union,"the federal government owns over 67% of the land in this ""last frontier"" state",Alaska
292,7330,states of the union,"\""yankee doodle"" is the dandy state song of this new england ""nutmeg state\""",Connecticut
293,7331,states of the union,"the wheeling convention of 1861 created the new state of kanawha, later renamed this",West Virginia
294,7332,states of the union,"it's said champlain named the green mountains of this state, hence the state's french-sounding name",Vermont
295,7333,states of the union,the gold rush town of deadwood in this state was founded in 1876,South Dakota
296,7481,cities,"founded in 1565, it is the oldest continually occupied european settlement in the continental united states","St. Augustine, Florida"
297,7739,national parks,fallen trees turned to rock are the main draw of this national park in the painted desert,the Petrified Forest
298,7740,national parks,utah's national parks run from a to z: arches to this one,Zion
299,7741,national parks,the water from this arkansas park is so pure nasa used it to preserve moon rocks,Hot Springs
300,7742,national parks,"while president teddy roosevelt established 5 national parks, including this one ""deep"" in oregon",Crater Lake National Park
301,7743,national parks,this volcano which last erupted in 1921 is the main feature of a park in california,Lassen Peak
302,7764,state capitals,this least populous state capital falls alphabetically immediately after alabama's,"Montpelier, Vermont"
303,7905,state capitals,"no beans about it, this capital is the largest city in new england",Boston
304,7906,state capitals,this twin city is the capital of minnesota,St. Paul
305,7907,state capitals,"it's nicknamed the ""center of the pineapple industry\""",Honolulu
306,7908,state capitals,a 150-foot-high battle monument in this new jersey capital marks the site of a famous revolutionary war battle,Trenton
307,7909,state capitals,"every memorial day weekend, this city hosts its famous 500 auto race",Indianapolis
308,7987,state facts,in august 1959 a coin toss helped hiram l. fong become this state's senior senator,Hawaii
309,8207,state capitals,"one of the 2 state capitals whose names end with the letter ""u\""","Juneau, Alaska or Honolulu, Hawaii"
310,8362,national park place,a mile-deep expanse of multicolored layered rock can be found at grand canyon national park in this state,Arizona
311,8363,national park place,"the largest national park outside alaska, death valley national park in this state is over 3 million acres",California
312,8364,national park place,"established in 1944, big bend national park is found on the rio grande river in this large state",Texas
313,8365,national park place,"olympic national park in this northwest state offers mountains, glaciers & the occasional elk",Washington
314,8366,national park place,"located in the blue ridge mountains, shenandoah n.p. overlooks the shenandoah valley in this state",Virginia
315,8492,landmarks,it was from the hopi that the spanish first learned of this over 200-mile-long landmark in arizona,Grand Canyon
316,8493,landmarks,"this chinese defensive barrier is built mostly of rubble, though some sections are of tamped earth, brick or masonry",The Great Wall of China
317,8494,landmarks,fazlur khan designed this 110-story chicago landmark,The Sears Tower
318,8495,landmarks,this landmark was founded in the 12th century as a fortress within moscow,The Kremlin
319,8496,landmarks,(cheryl of the clue crew reports from london)  the dome of st. paul's cathedral is modeled on the dome of this roman temple that's dedicated to all the gods,The Pantheon
320,8614,bodies of water,"this river's system gathers its waters from 9 countries, including kenya, ethiopia & egypt",Nile
321,8615,bodies of water,it's the gulf from which the gulf stream got its name,Gulf of Mexico
322,8616,bodies of water,this sacred river begins in an ice cave in india's uttaranchal state,Ganges
323,8617,bodies of water,"it's the only ocean that touches the shores of europe, asia & north america",Arctic
324,8618,bodies of water,"of the 5 great lakes, lake erie lies farthest south, this one farthest north",Lake Superior
325,9039,bodies of water,"covering 64 million square miles, it's the largest ocean in the world",the Pacific
326,9040,bodies of water,"saltier than any ocean, the great salt lake is the largest lake in this western u.s. state",Utah
327,9041,bodies of water,important rivers in this country include the huang he & the yangtze,China
328,9042,bodies of water,the strait of dover connects this channel with the north sea,the English Channel
329,9043,bodies of water,"this river stretches 4,160 miles from burundi to the mediterranean sea",the Nile
330,9070,where'd you go on vacation,"... to hannibal, missouri, where we saw this author's boyhood home, & an actual cave featured in his ""tom sawyer\""",Mark Twain
331,9071,where'd you go on vacation,"... to washington, d.c., where we got to tour this agency's headquarters & see its ten most wanted list",the FBI
332,9072,where'd you go on vacation,"... ""down under"" to this country, where we got to explore the great barrier reef",Australia
333,9073,where'd you go on vacation,"... over christmas, to california, where on january 1 we attended this famous football game in pasadena",the Rose Bowl
334,9074,where'd you go on vacation,"... to grand rapids, michigan, where we visited this former president's library & museum",Gerald Ford
335,9138,states by school,harvard university & tufts university,Massachusetts
336,9139,states by school,stanford university & whittier college,California
337,9140,states by school,cornell university & syracuse university,New York
338,9141,states by school,bethune-cookman college & the university of miami,Florida
339,9142,states by school,miami university & the university of toledo,Ohio
